question,answer,entity_type,canonical_name
السلام عليكم لي صديقتي تعاني من اكتئاب و واضبت على اخد مضاد الاكتئاب لمدة سنة ونص واتحسنت وقطعته تدريجيا بدون استشارة من طبيبتها وبعد اربع اشهر اصبح يؤلمها قليلا قلبها...,يج عليها اعادة استخدام العلاج,DiseaseCondition,اكتئاب
السلام عليكم انا عندي 28عام متزوجة وعندي بنت و ولد امس تعبت وحصلي عدد 6 إغمائات وروحت المستشفى الدكتور كشف عليا وقال لي ان الضغط مظبوط والسكر مظبوط وقال لي...,"التهاب الاذن الداخليه يسبب دوخه
وضعف الدم الحاد ايضا",DiseaseCondition,التهاب الاذن الداخليه
هل اعراض الاكتئاب هي الهروب الى النوم عندمواجهة مشكلة مع عدم البكاء برغم انه في السابق كنت ابكي كثيرا ام الان فانا لاابكى وانما ابقي صامتا مع تنتيف البشعر وتحب...,"من الممكن ان تكون هذه أعراض اكتئاب بالاضافه للكثير من الاعراض الاخرى
فهذه الاعراض لاتكفي للتشخيص نهائيا.
اما بالنسبه لتنتيف الشعر فذلك يحتاج لعلاج سلوكي",DiseaseCondition,اكتئاب
السلام عليكم زوجي عندةنسبةالحركةالحيوانات المنوية20بلميةمع عددالحيوانات 80 مليون هل تؤثر ع الانجاب ام لا رجاءا افيدوني,العدد ممتاز والحركة ضعيفة وان كان الحمل ممكن ولكن الافضل محاولة رفع الحركة الى فوق 50% . هناك الكثير من الادوية مثل : ال كارنيتين ، ترنتال ، كوكيو 10 . وهناك فيتامين إي . إذا هناك دوالي يمكن عمل عملية لربطها .,Treatment, كارنيتين ، ترنتال
الدورة الشهرية قبل موعدها ب 15 يوم و غزيرة مع تكبد الدم,راجعي الطبيب للفحص,Symptom,الدورة الشهرية
ابني عند ولادته كان يوجد بقلبه ثقب ولم يعطوه اللقاح الا مرة واحدة وعمره الان 7 اشهر واجرو له ايكو للقلب وقالو بانه تحسن جيدا فهل اكمل له اللقاحات واعوضها,ممكن التنسيق مع طبيب الأطفال و إجمالا يجب استكمال اللقاحات بمعظمها حتى بوجود ثقب في القلب,DiseaseCondition,ثقب في القلب
السلام عليكم انا حامل ببداية السادس وبسوي جهاز ال ultrasound تقريبا كل شهر للتأكد من سلامة الجنين. هل ال ultrasound تضر الجنين على ما يقول البعض؟؟؟ وماهي الاضرار؟؟؟,"اولا مبروك لك الحمل
ثانيا لا يوجد اي ضرر في اخذ السونار",Test,السونار
السلام عليكم ورحمت الله من فضلكم عوز اعرف ما علاج الدوالى,"العلاج التصلبي للاوردةوهو عبارة عن عملية يتم فيها حقن مادة كيميائية خاصة داخل الاوردة الصغيرة
العلاج بالليزر +بالنسبة للاوردة الأكبر حجمآ والتي تسبب اعراضآ خطيرة فإن أفضل علاج لها على المدى الطويل هو ازالة الوريد جراحي
مارس التمرينات باستمرار +تناول طعام قليل الدهون و الملح والسكر لمنع زيادة الوزن +حرك قدميك باستمرار خاصة أثناء الجلوس الطويل
+امتنع عن التدخين + حاول دائما أن يكون المشي بديلا للوقوف
+ارتداء الجورب الطبي المانع للدوالي و هو جورب ضاغط يمكن أن يكون تحت الركبة أو إلى الفخذ
+ رفع الساقين أعلى من مستوي القلب لدقائق على فترات أثناء اليوم و خاصة بعد فترات الوقوف الطويل
+و يتم علاج دوالي الساقين عن طريق وضع كمادات من خل التفاح مرتين كل يوم على المنطقة المراد علاجها ثم تثبت الكمادة",DiseaseCondition,الدوالى
اعانى من ضيق فى التنفس ( كرشة نفس ) مستمرة لمدة 10 ايام متواصلة بعد عمل اشعة عادية على الصدر اظهرت التهابات بسيطة جدا وبعد المضاد الحيوى وموسعات الشعب مازالت...,"هل هناك ارتفاع في الحرارة؟ سعال؟ أو أية أعراض أخرى؟
هل لضيق التنفس علاقة بالجهد؟
أنصحك بمراجعة أخصائي أمراض داخلية
تحياتي",Symptom,ضيق فى التنفس
انني اعاني من التهاب في مفصل الفك الايسر وذهبت الى طبيب اختصاص انف واذن وحنجرة وانه لم يستطيع تشخيص حالتي علما اني اعاني من صداع يبدا من فكي حتى اعلى...,قم بالذهاب لطبيب الأسنان للكشف عن أضراس العقل ووضعها وهل هي السبب في هذه الألام أم من سبب أخر,Symptom,صداع
"سوألي هناك فتاه تشعر بحراره شديده في جسمها الخارجي وقليل جدا من داخل جسمها
ولاترتاح الا بالاغتسال
ومستمر الحال معها قرابه الثلاث ايام ماهو التشخيص لهذي الحاله
وشكراا","قد يكون عندها نوع من أنواع الحساسية، ننصحها بالمكوث قي جو بارد وتناول
مضاد للهيستامين مثل تيليفاست أو إكزوفين أ, أي نوع آخر",DiseaseCondition,حساسية
"كانت توجد لدي اميبا متكيسه وستخدمت عدة مضادات ولم اشفى منها
تم عمل تحليل قبل ايام وكانت النتيجه فطريات وتخمر ولا توجد اكياس اميبيه لكن اعاني من اعراضها وربما الاكياس...",90 في المائه من الاصابه ىالاميبا لا يوجد أي اعراض لدي للمريض و تكتشف فقط بالتحاليل و يصفه عامه يتم علاج الامييا فقط لو هناك اعراض التهاب القولون والإسهال والم بالبطن و إسهال فيه دم بعلاج الفلاجيل flagyl وغير مجدي وغير لازم علاج الاكياس الاميبه في الدول التي بننشر بها وجود الامييا ومنها دول أسيا وأفريقيا ..........,DiseaseCondition,الاميبا
"الكوليسترول ال ldl لدى 195 وانا استخدم cazet 10/20
ونزل الى 120 فها اخفض الدواء الى 10/10 لتقليل الخطر ع الكبد ام استمر الى ما انا عليه",ينبغي تخفيضه بعد التحقق طبيا من الاستجابة,Test,الكوليسترول ال ldl
اعاني من رعشة اليدين,"تعتبر رعشة اليدين عبارة عن تقلصات لا إرادية في العضلات تسبب الاهتزاز و الرعشة في اليدين أو في أجزاء مختلفة من الجسم حيث تبدو كأنها ترتجف، وتعتبر رعشة اليدين في معظم الحالات  مصدر إزعاج بسيط إلا أنها في حالات أخرى قد تتداخل مع الحياة والأنشطة اليومية.
وتعتبر رعشة اليدين أكثر وضوحاً عند إصابة الشخص بالتوتر أو عند بسط اليدين أمام الجسم مباشرة، وقد تؤثر الرعشة على الرأس أو الذراعين أو الساقين وغيرها من أجزاء الجسم المختلفة. ويتم تقسيم رعشة اليدين بصورة رئيسية إلى نوعين هما:

رعشة اليدين خلال فترة الراحة، حيث يحدث هذا النوع عند استرخاء العضلات وعند راحة اليدين.
رعشة اليدين أثناء العمل، حيث يحدث هذا النوع عند انقباض العضلات نتيجة حركات إرادية يقوم بها الشخص.

ويوجد العديد من الأسباب المختلفة التي تؤدي إلى رعشة اليد ومن أبرزها ما يلي:

رعشة اليدين الفسيولوجية نتيجة لأحد الأسباب التالية:


القلق.
الضغط العصبي.
التعب.
الاضطرابات في النوم.
الإفراط في استهلاك الكافيين.
المبالغة في ممارسة التمارين الرياضية.
الاضطرابات في الغدة الدرقية مثل نشاط الغدة الدرقية.


رعشة اليدين نتيجة الإصابة بمشاكل في الجهاز العصبي بما في ذلك ما يلي:


التصلب اللويحي، حيث يؤثر على كل من الدماغ والحبل الشوكي وعلى مسار الجهاز العصبي المركزي والتحكم بالحركات.
الإصابة بمرض باركنسون، حيث تتطور الرعشة نتيجة فقدان الخلايا العصبية في جزء من الدماغ التي تتحكم في الحركة.
السكتة الدماغية.
التعرض لإصابة معينة في الدماغ.
الإصابة بخلل التوتر العضلي، حيث أنه اضطراب حركي تؤدي فيه تقلصات العضلات اللاإرادية إلى حدوث حركات وأوضاع متكررة بصورة لا إرادية.


وجود مشاكل صحية مزمنة بما في ذلك ما يلي:


المشاكل النفسية مثل الصدمة أو الاكتئاب وغيرها.
النشاط في الغدة الدرقية.
الفشل الكلوي ومشاكل في الكبد.


تناول أدوية معينة بما في ذلك ما يلي:


أدوية علاج الربو.
مضادات الاكتئاب.
أدوية علاج الصرع.
مثبطات المناعة.
بعض المضادات الحيوية.
الستيرويدات القشرية.

للمزيد:

7 طرق لعلاج رعشة اليد",Symptom,رعشة اليدين
ما هو الاكل المناسب لمرضى القولون العصبى,الخطوة الأساسية لعلاج القولون العصبي هي تجنب الأطعمة المسببة لتهيج القولون، حيث يمكن الاستعاضة عن منتجات الألبان باللبن الرائب الذي يحتوي على البكتيريا النافعة التي تفرز إنزيم اللاكتاز المسؤول عن هضم اللاكتوز المسبب لتهيج القولون، والإكثار من شرب الماء، وتجنب شرب المشروبات الغازية، وتناول وجبات قليلة الدهون وغنية بالكربوهيدرات,DiseaseCondition,القولون العصبى
يوجد لدي إنتفاخ بسيط في الفك السفلي قريب من منتصف الفك ولا استطيع فتح الفم بالكامل لوجود الم شديد,قد يكون خراج او التهاب العقد اللمفاوية. راجع الطبيب للتشخيص,DiseaseCondition,التهاب
"انا حامل ف 15 اسبوع و 1 يوم
رحت اتاكد من سلامة الجنين ب Regular Ultrasound
اللي بسويه كل شهر بس هذا المره قالت الدكتوره عندك ولد
يعني بين جنس...",ليس اكيدا و لكنه ممكن و الله أعلم,Test,Regular Ultrasound
كنت مدمن ترامادول لمدة سنة كل يوم حبتين وتركتو لانو سببلي وجع في بطني واستفراغ وطلع عندي التهاب بالاثنى عشرالحمدلله الي 7 شهور تاركو وجع بطني خف كتير بس سرت...,لا بد من معالجة الاثار النفسيه للتعاطي,DiseaseCondition,التهاب بالاثنى عشر
السعال الجاف المصحوب بكتمة في الرئة ويكون متكرر ويؤدي الى جرح في الحلق والم بالرأس,السعال الجاف غلبا ما يكون التهاب فيروسي ن وعلاجه تناول مضادات السعال الجاف مثل توبليكسيل أو ميرلوسم ومضاد للهيستامين لا يسبب النعاس مثل بولارامين أو كلاريتين أو تليفاست ، بلاضافة للتغذية المتوازنة والعسل والمربى,Treatment,توبليكسيل
السلام عليكم انا عملت التلقيح ضد فيروس الكبد ب بعد 9 اشهر عملت فحص لمعرفة هل تكونت لدي مضادات الاجسام كان العدد ممتاز وصل الى250 وهذا سنة 2010 بعد ذلك...,"بعد المقرر الأول المكون من 3 جرعات من اللقاح، يتم عمل تحليل دم بعد فترة تتراوح من 1-4 أشهر من أخر جرعة لتحديد ما إذا كانت هناك استجابة كافية، وهو يعرف بأنه ، المستضدات السطحية المضادة التهاب الكبد باء ويجب أن يكون مستوى الأجسام المضادة فوق 100 ملي من الوحدة الدولية / مليلتر. وقد حصلت انت على مستوى عالي جدا 250 وهذا ممتاز
مستوى الأجسام المضادة ما بين 10 و 100 ملي من الوحدة الدولية/ مل يعتبر استجابة ضعيفة، وهؤلاء الناس يجب أن يحصلوا على جرعة معززة واحدة في هذا الوقت، ولكن لا تحتاج إلى مزيد من إعادة الاختبار.[
وينبغي اختبار الناس الذين يفشلون في الاستجابة (مستوى الأجسام المضادة تقل عن 10 ملي من الوحدة الدولية/ مل) لاستبعاد أي عدوى التهاب الكبد باء حالية أو سابقة، ويجب تكرار المقرر من 3 جرعات من اللقاح، تليها إعادة الاختبار من 1-4 أشهر بعد المقرر الثاني. الذين ما زالوا لا تستجيبوا للمقرر الثاني من التطعيم ويمكن أن يستجيبوا لجرعة عالية من اللقاح أو لحقن اللقاح داخل الجلد. هؤلاء الذين لا يزالون غير مستجيبين يتم اعطائهم أجسام مضادة ضد الفيروس الكبدي بي (HBIG) في وقت لاحق إذا ما تعرضوا للفيروس التهاب الكبد البائي.[
الاستجابة الضعيفة غالبا ترتبط في معظمها مع سن ما فوق 40 سنة، والسمنة والتدخين، وكذلك في الذين يشربون المشروبات الكحولية، وخاصة إذا مع مرض الكبد المتفشي. المرضى الذين يعانون من نقص المناعة أو معتمدين على الغسيل الكلوي قد تكون الاستجابة أقل وتتطلب المزيد من جرعات متكررة أو جرعة أكبر من اللقاح.",Test,تحليل دم
السلام عليكم هل الطعام يسبب الاكتئاب مرات احس بالاكتئاب بعد تناول وجبة ثقية عمري 21,قد تكون عالية بالدسم او لانك تشعرين بالحزن لتناولك كمية من الطعام و لكن ليس من الغذاء نفسه,DiseaseCondition,الاكتئاب
السلام عليكم ورحمة الله وبركاته عند سوال عمر 40 سنة عندى حرارة عند الاصابة بزكام,الحرارة عند الإصابة بالزكام شئ طبيعي واساسي ،فكل التهاب بكتيري أو فيروسي تكون الحرارة هي العلامة الرتيسية، وفي حالة الزكام يتم تخفيض الحرارة بتناول خافضات الحرارة مثل باراسيتامول أو أيبوبروفين وكذلك تهدئ الصداع وآلام الجسم الأخرى,Symptom,الحرارة
ما علاج الساركوما الدرجه الرابعه هل ممكن ان تتشابه نتيجة الخزعه للمريض مع نتيجة التهاب في عمليه سابقه في العظم قبل عام ونصف ام ان نتيجة الخزعه قاطعة وتعني الإصابة...,لتطمئنوا أكثر من الممكن أخذ الشرائح للفحص في مختبر أنسجة آخر تأكيدا للنتيجة.,DiseaseCondition,الساركوما
ماسبب الوهن العام والدوخةوتسارع ضربات القلب والاحساس بالتقيؤ,"هناك اسباب عديدة للوهن العام وللدوخة منها ما يتعلق بالجهلز الهضمي او بضغط فقرات عظام الرقبة على الاعصاب او اي خلل يتعلق بالكلاوي وعملها
ارجوك اشرح لي الحالة بالتفصيل العمر والجنس والتاريخ الصحي كي استطيع ارشادك او استشر طبيب فالمعاينة المباشرة افضل في وضعك لعمل الفحص السريري اولا قبل الفحوصات المخبرية",Symptom,الوهن العام
هل زوتريم اقل فى الاعراض الجانبية فى التخسيس وهل عند ايقاف الكورس يعود الوزن مرة اخرى ؟ وشكرا,من الاثار الجانبية لزوتريم هي فقدان الشهية، ارتفاع ضغط الدم، والعصبية، والتوتر والهزات، والإسهال، والغثيان، ومشاكل في المعدة، وسلس البول، والجفاف، وربما التفاعلات مع بعض الأدوية والوصفات الطبية. ولنتائج أكثر إيجابية يجب دمجها مع تمارين بدنية منتظمة و تقليل الطعام كي لا يعود الوزن الذي تم فقده في حالة التوقف عن اخذه ولا يجب تناوله دون استشارة الطبيب,Symptom,غثيان
"السلام عليكم
لدي التهاب بالعصب السمعي الثالث مما أدى الى الطنين
ما هو علاج ذلك",العصب الثالث ليس العصب السمعي . للطنين اسباب عديدة . يفضل الفحص عند الطبيب,Symptom,صداع
هل من الممكن ممارسة العملية الجنسية مع زوجى اثناء الدورية الشهرية . وماذا يحدث اذا حدث الحمل اثناء الدورة الشهرية . وهل يوجد تأثير على الجنين فى اوائل ايام الحمل...,"من غير المستحب ممارسة الجنس أثناءالعادة الشهرية ، نظراً لكثرة الدم في المهبل، والحمل لا يمكن أن يحدث في أثناء الدورة، لأن وقت الإباض ما زال بعيداً حوالي أسبوعين.
ويفضل عدم ممارسة الجنس في الشهرين الأولين والأخيرين أيضاً حفاظاً على الجنين.",Symptom,الجماع
ما هي الفصوحات المطلوبة من قبل الزوج والزوجة لاجراء عملية الحقن المجهري,"بالنسبة للزوجة يجب اجراء فحص التراساوند في اليوم التاني من الدورة الشهرية للتأكد من وضع الرحم والمبايض واجراء فحص الهرمونات التالية
PRC,E2,LH
والبنسبة للزوج يجب اجراء فحص للسائل المنوي الرجاء تزويدنا بمعلومات اكثر عن حالتكم.",Test,فحص التراساوند
"هل يغني الأسبرين عن ابر السيولة في الأسابيع الأولى من الحمل، علما بأني في الأسبوع السادس واعاني من الإجهاض المتكرر، وهل يمكن وصف ابر سيولة لي؟
وهل الميتوفورمين أمن في...",الأسبرين لا يغني عن الابر..والميتفورمين آمن مع الحمل,DiseaseCondition,إجهاض
بحس بضيق في التنفس كل سنه في فتره دخول الصيف فقط و بحس ب صوت صفاره في صدري و بستخدم بخاخه فينتولين و الحاله بتفضل معايه لمده ١٠ ايام علي...,اعراض ربو وحساسيه لابد من استخدام علاج وقائي وعمل تحاليل لمعرفة سبب الحساسيه عن طريق زيارة طبيب,DiseaseCondition,ربو
مرحبا بشرتي دهنية وعمري 27 سنة اعاني من حب الشباب جربت العديد من العلاجات دون فائدة والان استخدم اكرتين كريم دون اشراف طبيب فهل هذا جيد ومناسب لبشرتي,اتبعي التعليمات المكتوبه في النشره الطبيه هو جيد لحب الشباب واستخدامه لفترهطويله مفيد يمنه فقط في الحمل,DiseaseCondition,حب الشباب
عندي ضغط 140-75 وليس دائما هل انا مريض بإرتفاع الضغط مع انني كثير قياس الضغط,عليك بممارسة الرياضه وتقليل الوزن ووقف التدخين ووقف تناول الكحول والحمية غذائية من الدهون والاملاح بالاطعمه مع متابعة قياس الضغط,DiseaseCondition,إرتفاع الضغط
هل لاستعمال المرميه مضار؟ومتى تكون اكثرفائده وقت الدوره ام في غير وقتها؟,ليس للميرمية تأثير واضح في الدورة الشهرية، يمكنك شربه في أي وقت ، ولكن باعتدال.,Treatment,المرميه
انا في الشهر 9 ورجلي اليمنى من اسفل الظهر الى الركبة تؤلمني بشدة ما الحل انصحوني,عليك ألمشي قدر الأمكان ، يسمى هذا بالعامية عرق النسى ناتج عن الحمل المشي هو الدواء المناسب مع حذاء مريح بالسلامة,Treatment,المشي
"السلام عليكم
ما هو السبب في سرعة دقات القلب بشكل مفاجئ ....تقريبا لمدة 5 دقائق ...",هناك أسباب كثيرة منها ما هو نفسي كالانعال والقلق وغير ذلك ومنها ما هو ناجن عن الافراط في تناول المنبهات، والأدوية، ومنها ما هو مرافق لحالة مرضية مجموعية كالالتهاب أو اضطراب الغة الدرقية ومنها ما هو ناجم عن اضطرابت كهربية قلبية ولتحديد السبب ينبغي فحص المريض وعلى ضوء العلامات السريرية الموجودة يمكن التعرف على السبب,Symptom,سرعة دقات القلب
سائل أبيض مائل للصفرة داخل العين في المكان الابيض في العين و ليس في البؤبؤ الاسود. ماهو هذا السائل؟ وكيف علاجه؟ ومدى خطورته ؟ و شكرا,ممكن ان يكون التهابات يلزمك فحص عند طبيب العيون,DiseaseCondition,التهابات
ماهي نتائج واحتمالات زواج بنت حامل سكلسل و سايلنت الفا ثلاسيميا برجل مصاب بيتا ثلاسيميا؟,لا ينصح بهكذا اقتران  لان كل الاحتمالات ممكنة من حيث اصابة الذرية تكون اصابة مختلطة شديدة,DiseaseCondition,بيتا ثلاسيميا
ظهر دمل كبير الحجم نسبيا بجانب فتحة الشرج ويبدو كانه متدليا من الجلد ولونه بنفسجي ماذا علي افعل وما هو هذا الشئ؟,احتمال يكون تجمع صديدى ويتوجب فتحه وتنظيفه بالمستشفى,DiseaseCondition,تجمع صديدى
انا اعاني من اكتئاب ولا احب ان احادت اصدقائي و اتكلم مع اشخاص غير موجود في الواقع واتكلم يصوت مرتفع واشكي لهم مافي اعماق قلبي و انهار بلبكاء,الإكتئاب يتعالج، عليك بمراجعة الطبيب النفساني وستكون الأمور بخير.,DiseaseCondition,اكتئاب
"انا عندي نقص فيتامين د ٤ وذي العلاجات
mixavitاخذت منها ٤ من اصل ٦٠
coxicamاخذت منه ٢٠ من اصل ٦٠
omerazole ما اخذت منها ولاشيء لانها توقف امتصاص البروتينات وانا...",اعطاء فيتامين د لا يتعارض مع حصوة الكلى خاصة و انه توجد انواع من هذا الفيتامين تعطى حتى في اصعب حالات اصابة الكلى و يجب استشارة الطبيب المعالج لوصف هذا النوع,Treatment,فيتامين د
تعريف الكبد الوبائي واعراضه ومسبباته,"يعتبر الالتهاب الكبدي من أخطر الأمراض التي تصيب جسم الإنسان وقد وينتشر هذا المرض في معظم بلدان العالم وقارتي آسيا وإفريقيا خاصة ، كما ينتشر في المناطق التي تكثر بها الإصابة بالبلهارسيا.
"" الالتهاب الكبدي "" من حيث العامل المسبب له إلى التهاب كبدي فيروسي ، التهاب كبدي بكتيري ، أو التهاب كبدي نتيجة استعمال أدوية معينة - أهمها الباراسيتامول - أسباب أخرى , أما بالنسبة لفترة هذا الالتهاب فيوجد التهاب كبدي حاد والتهاب كبدي مزمن.
هناك الكثير من الفيروسات التي تسبب هذا المرض مثل فيروس الهربس والابشتين بار وغيرهما إلا أنه يأتي على رأس القائمة فيروس الالتهابالكبدي المعروف باسم Virus - hepatitis .
توجد عدة أنواع وهي G,F,E,D,C,B,A- وهذه الأنواع هي التي تم اكتشافها حتى الآن، إلا أن العلماء يؤكدون على احتمال وجود أنواع كثيرة وهم يبذلون قصارى جهودهم لكشف النقاب عنها.
بالنسبة لنوعي E,A فهما ينتقلان عن طريق الأكل أو الشراب الملوث بهذه الفيروسات فالذباب يقف على البراز وينقل الفيروس إلى الغذاء المكشوف وهذان النوعان لا يسببان تلفاً مزمناً في النسيجالكبدي ولكن هنا ملحوظة هامة وهي إذا حدثت العدوى بفيروس Eأثناء فترة الحمل فمن المحتمل أن يؤدي إلى وفاة المرأة الحامل.
أما عن طريقة انتقال فيروس B فهو لا ينتقل عن طريق الغذاء ولكن ينتقل عن طريق الإبر الملوثة بالفيروس أو نقل الدم الملوث والأدوات الجراحية الملوثة أو عن طريق الاتصال الجنسي من الرجل للمرأة والعكس، كما انه ينتقل أيضا عن طريق الوشم، ونوع D أو Dattaينتقل أيضا بنفس هذه الطرق.
ولا تحدث الاصابه بالنوع D إلا أذا كان الشخص أصلا مصاباً بنوع B، والإصابة بفيروس D قد تكون متزامنة مع نوع Bأو تحدث بعدها والحالة الأخيرة تكون شديدة الخطورة .
أما بالنسبة للمريض المصاب بالفيروس B منفرداً أو بالإضافة إلى فيروس D فقد يؤدي ذلك إلى حدوث التهاب كبدي حاد من أعراضه ارتفاع في درجة الحرارة و فقدان الشهية واصفرار العينين وكذلك حدوث هرس بالجلد ويصاحب هذه الأعراض حدوث ارتفاع في أنزيمات الكبد وهذه الحالة إما أن تستمر عدة أيام وأسابيع بعدها يحدث اختفاء للأعراض وشفاء المريض أو أن يحدث تطور في الحالة وتتحول إلى التهاب كبدي مزمن مما قد يؤدي إلى حدوث تليف كبدي بعد فترة طويلة.
التليف الكبدي قد يكون غير مصحوب بأي أعراض سوى تضخم كبدي، أما في الحالات المتقدمة فنرى علامات التليف الكبدي الواضحة مثل استسقاء البطن تورم الساقين -حدوث الاصفرار- رائحة كريهة بالفم وحدوث تغيرات هرمونية واختلال درجة وعي المريض.
ومن أهم أعراض وعلامات تليفالكبد هو دوالي المريء فهو من العلامات الواضحة لحدوث تليف كبدي متقدم وهي تحدث نتيجة لارتفاع الضغط في الوريد الباني مما يؤدي إلى انبساط وتمدد الأوعية الدموية في الجزء الأسفل من المريء أو الجزء العلوي من المعدة ونستطيع تشخيصها الآن بسهولة عن طريق إجراء منظار المعدة، ومن مخاطر الدوالي حدوث نزيف دموي من الفم أو من فتحة الشرج ويتم إيقاف النزيف عن طريق حقن الدوالي أو ربطها، كما توجد طرق جراحية أخرى.
في العقود الماضية كان لا يوجد علاج فعال لمثل هذه الحالات ولكن الآن تم اكتشاف العديد من الأدوية الحديثة ويأتي على رأس القائمة حقن الانترفيرون وكبسولات الريبافيرين .
و تأتي زراعة الكبد كحل أخير في علاج التليف الكبدي المتقدم أو سرطان الكبد وتتم هذه الجراحة بنجاح في بلدان كثيرة .",DiseaseCondition,الالتهاب الكبدي
متى يظهر كيس الحمل في أطفال الانابيب؟ وهل مرض تكيس المبايض يؤثر عل الجنين ام يسبب اجهاض؟ .لدي ايضا افرازات بنية بها قليل من الدم الدكتورة قالت عادي وعنق الرحم...,يظهر الكيس بعد شهر من نقل الاجنة ، والتكيس قد يسبب الاجهاض,DiseaseCondition,تكيس المبايض
هل أعاني من ارتفاع ضغط الدم إذا كان قياسه بين 90 و 95 مع ألم متنقل في الرأس وطنين في الأذنين و آلآم في الرقبة وتشوش في الرؤية منذ شهر...,اذا كانت هذه الأرقام المذكورة هي للضغط الانبساطي فهي لا شك مرتفعة بالنسبة لعمرك خاصة اذا ما تكررت، ويُمكن أن ينجم عن ارتفاع الضخط أعراض كهذه ولذلك اذا ما تأكد التشخيص عليك الالتزام بالعلاج الطبي الموصوف,DiseaseCondition,ارتفاع ضغط الدم
ما هوه الفحص الذي يكشف التهاب البروستات المزمن غير الفحص السريري ؟,تحليل بول و مزرعة قبل و بعد اجراء فحص شرجي و دلك البروستاتا بالاصبع,Test,تحليل بول و مزرعة
أعاني من حالة اكل الأضافر بشكل مستمر لدرجة انهم لا يطولون وأحيانا الجلد عن طرف الأصبع ما الحل؟؟,توضع ماده مره على الاصابع لإيقاف العاده,DiseaseCondition,اكل الأضافر
هل ادخال الاصبع افقدني عذرية علما انه كانت فترة حيض اي ان الحيض ظهر بعد اقل من 05 دقائق بعد اخال الاصبع,لو انت متاكده انه ادم نزل من الدوره فبالتالي لم يؤاثر الاصبع على غشاء البكره لكن لو الدم كان من الغساء معناه تضرر العساء لكن انا باعتقد ان الاصبع غير كافي لفتح وتمزيق الغشاء,DiseaseCondition,غشاء البكره
"فتاة بعمر 22سنة أصيبت بعدوى اليرقان
هل هو مرض خطير؟؟؟",اذا كان القصد التهاب الكبد الفروسي أ فالأمر غير خطير إطلاقاً. علماً أن مسسبات اليرقان عديدة.,DiseaseCondition,التهاب الكبد الفروسي أ
السلام عليكم ورحمة الله وبركاته عند سوال عمر 40 سنة عندى حرارة عند الاصابة بزكام,الحرارة عند الإصابة بالزكام شئ طبيعي واساسي ،فكل التهاب بكتيري أو فيروسي تكون الحرارة هي العلامة الرتيسية، وفي حالة الزكام يتم تخفيض الحرارة بتناول خافضات الحرارة مثل باراسيتامول أو أيبوبروفين وكذلك تهدئ الصداع وآلام الجسم الأخرى,Symptom,الحرارة
هل يمكن ان يصاب الرجل بالعقم بعد ان ينجب مع العلم انه متزوج من نفس زوجته الني انجب منها؟,نظريا يمكن، إذا حصل انسداد أو توقف في بناء المنويات في الخصية نتيجة التهاب أو مرض أو غيره، أو نتيجة مشاكل عند الزوجة. واجع اختصاصي مسالك بولية.,DiseaseCondition,العقم
كيف اعرف انو غشاء البكارة موجود ؟ علما انو حاولت النظر اليه و وجدت فتحة ولما نظرت مرة اخرى وقت اخر وجدت فتحتين لم اقم بوضع اي شيء داخل المهبل...,الغالب أن هذه فتحة الحيض، ويختلف شكل الفتحة من شخص لآخر. والغشاء لا يتمزق إلا بدخول شيء في المهبل.,DiseaseCondition,غشاء البكارة
انا عندي التهاب شبكي صبغي و انا بشوف قدام عيني خيوط سوده دلوقتي باقيت اشوف زي الضوء الأبيض وكمان نقطه سوده ( كأني شايف صوره فيهاا جزء محروق),هذه عتمات في الساحة البصرية تدعى عتمات ايجابية بسبب التهاب الشبكية الصباغي راجع الطبيب لفحص الشبكية وتقييم حالتك ...,DiseaseCondition,التهاب الشبكية الصباغي
هل يمكن للعقد اللمفاوية الناتجة عن التهاب والسليمة أن تدوم دائما؟,"إن التهاب العقد اللمفاوية هو المصطلح الطبي الذي يُطلق على تضخم في واحد أو أكثر من العقد الليمفاوية في الجسم، وعادة ما يكون بسبب العدوى أو التهاب معين. وتحتوي الغدد الليمفاوية على خلايا الدم البيضاء التي تساعد الجسم على مكافحة الالتهابات. ومن الجدير بالذكر أن العقد الليمفاوية عندما تصاب بعدوى معينة فإنها تزداد في الحجم وتتضخم ويجب أن تعود إلى حجمها الطبيعي بعد الشفاء من العدوى ولكن في حال استمرار تضخمها بعد الانتهاء من العلاج يجب مراجعة الطبيب مرة أخرى ليتمكن من تحديد السبب.
للمزيد:

معلومات حول الغدد الليمفاوية الحارسة
التهاب الغدد اللمفاوية خلف الاذن
كتل وأورام الغدد اللمفاوية

المرجع: Lymphadenitis",DiseaseCondition,التهاب العقد اللمفاوية
"السلام عليكم ورحمة الله وبركاته
أريد أن أعرف إن كان لدي حمل أولا لأن آخر دورة كانت في 1_9 ولكن بعدها بأسبوع ظهرت نقطة دم فاهية اللون ومرضت ونحفت علما...",لايمكن الجزم الا بعمل فحص الحمل بالدم...,Test,فحص الحمل بالدم
فتاة عمري 20 غير متزوجة بدات بالعادة السرية برشاش ماء قوي حاولت التوقف ولكن صعب علي قبل عدة اشهر لاحظت حدوث حكة وحرقان عند تبول وافرازت بيضاء تحولت الى اللون...,ممكن وجود التهابات جلديه او مهبليه و اذا تكررت يجب مراجعه الطبيب للمعاينه و العلاج,DiseaseCondition,التهابات جلديه او مهبليه
